ENGLISH ; RUSSIAN
single vision lenses ; Линзы однофокусные
constrast uptake ; поглощение контрастного вещества
поликлиника ; outpatient clinic
успокательные ; calming agents, sedatives
preconditions, predisposing factors ; предпосылки ; предраспологающие факторы
keep ur chin tucked ; держите подбородок втянутым ; прижимайте подбородок к груди
прилив крови в голову ; rush of blood to the head
гул в голове ; noise/humming in the head
blurry vision ; затуманенное зрение
ear ringing ; звон в ушах


induce/cause pain ; вызывать, причинять боль
hair clip, hairpin ; заколка

toe crunhes ; Сгибания пальцев ног
transition ; переход, процесс отвыкания
limping ; хромать
to stoop ; сутулиться, горбиться
gut bacteria ; Кишечная микрофлора
vulnerable ; уязвимый

wound care ;  Уход за раной, Обработка раны, Перевязка раны
baxitrasin ;  Бацитрацин, Бациллотрацин, Мазь антибактериальная
baby wipes ;  Влажные салфетки для младенцев, Детские влажные салфетки, Салфетки для гигиены новорожденных
bruising ;  Синяк, Кровоподтёк, Гематома
soaked ;  Пропитанный, Промокший, Насквозь мокрый
scab ;  Корка, Струп, Засохшая корочка
carseat ;  Автокресло, Детское автокресло, Бустер
cranky and fussy ;  Раздражительный и капризный, Беспокойный и плаксивый, Возбуждённый и непослушный
recovery room ;  Палата восстановления, Комната пробуждения, Послеоперационная палата


hearing test ;  аудиометрия, проверка слуха, тест на слух
аудиология ;  audiology, hearing science, otolaryngology
шейный отдел ;  cervical spine, cervical region, neck vertebrae
сужение каналов ;  canal stenosis, narrowing of canals, spinal canal stenosis
ringing in ear ;  звон в ушах, тиннитус, шум в ушах
neuroothology ;  нейроотология, нейро-отоларингология, отоневрология
buzzing in the ear ;  жужжание в ухе, гул в ухе, гудение в ушах
отолариногол ;  otolaryngologist, ENT specialist, ear, nose, and throat doctor
beeps ;  гудки, звуковые сигналы, пищащие звуки
high pitch ;  высокая частота, высокие тоны, высокий тон
hearing loss ;  потеря слуха, снижение слуха, тугоухость
to fill in the gaps (brain does for deaf regions) ;  заполнить пробелы, восполнить недостающую информацию, дополнить пропуски
hearing organ ;  орган слуха, слуховой орган, ухо
noisy environmemnt ;  шумная среда, шумное окружение, громкая обстановка
autotoxic ;  аутотоксический, токсичный для слуха



стент забит ; a stent is blocked
MRSA ; метициллин-резистентный золотистый стафилококк

devoted to, focuses on ; посвящён

боль держится 10 мин и уходит, Pain lasts 10 minutes and goes away ;  Pain persists for 10 minutes and resolves ;  Pain remains for 10 minutes then subsides
красная родинки, Red moles ;  Red nevi ;  Red birthmarks
семена пожитника, Fenugreek seeds ;  Methi seeds ;  Trigonella seeds
семена калиандра, Coriander seeds ;  Cilantro seeds ;  Dhania seeds
гостиница, Hospital ;  Infirmary ;  Medical facility
ругаю себя, Self-blame ;  Self-recrimination ;  Self-criticism
жалею себя, Self-pity ;  Self-compassion (negative context) ;  Feeling sorry for oneself
гемотома, Hematoma ;  Bruise ;  Blood clot
colon cancer, Рак толстой кишки ;  Колоректальный рак ;  Рак ободочной кишки
colon cancer screening, Скрининг рака толстой кишки ;  Профилактическое обследование толстого кишечника ;  Скрининг колоректального рака


long half life ; длительный период полураспада

state department, ; Государственный департамент, Госдепартамент, Министерство иностранных дел
to deposit a check ; Внести чек, Положить чек на счет, Депонировать чек
statement of bill payment, ; Выписка по оплате счета, Ведомость оплаты счета, Реестр платежей по счетам
state account ; Лицевой счет, Государственный счет, Счет учреждения
estate account ; Счет наследства, Счет имущества, Счет наследственного имущества
претендовать отказ ; Claim denial, Denial of claim, Rejection of claim
nursing home ; Дом престарелых, Учреждение сестринского ухода, Дом-интернат для пожилых
a statement, ; Заявление, Утверждение, Изложение фактов
reinburst ; Возместить, Возмещение, Компенсировать
next nokin ; Следующий родственник, Следующий близкий родственник, Ближайший родственник


loop recorder ; Петлевой регистратор, Циклический регистратор, Регистратор с циклической памятью
separated ; Раздельно проживающий, Разведённый (в судебном смысле), Супруг(а) в раздельном проживании
соляные пробки в почках ; Salt plugs in kidneys, Renal salt deposits, Saline concretions in kidneys



icu ; Отделение интенсивной терапии (ОИТ),Палата интенсивной терапии (ПИТ),Блок интенсивной care (реже используется)
to dislocate ; Вывихнуть,Смещать (сустав),Разъединить
xray department ; Отделение рентгенологии,Кабинет рентгеновской диагностики,Рентгенодиагностическое отделение
OR table ; Операционный стол,Хирургический стол,Стол для операций
scratchy throat ; Першение в горле,Раздражение горла,Саднящее горло

geropsych unit ; отделение психиатрии для пожилых
scheduled med ; запланированное лекарство, назначенное лекарство, плановый препарат
PRN ; по мере необходимости, при необходимости, по требованию
2 часа позже ; 2 hours later, After 2 hours, In 2 hours
shiny ; блестящий, глянцевый, сияющий
incidental finding ; случайная находка, случайный диагностический признак, побочная находка
screlitis ; склеритът, воспаление склеры, склеральное воспаление
lower potency steroid ; стероид низкой активности, стероид слабой потенции, препарат со слабым стероидным эффектом
carate ultrasound ; УЗИ роговицы, ультразвуковое исследование роговицы, кератоультразвуковое исследование
preventive care ; профилактическое обслуживание, предупредительная медицина, профилактика заболеваний
mutually exclusive ; взаимно исключающие, несовместимые друг с другом, исключающие друг друга
aching pain ; ноющая боль, тупая боль, болезненное ощущение
throbbing pain ; пульсирующая боль, колющая боль, острая пульсирующая боль
нёбный язычок ; palatine uvula, soft palate uvula, velar uvula
gas pain ; газовая боль, метеоризм, боль от газов
epigastric pain ; эпигастральная боль, боль в эпигастрии, боль в верхней части живота
to expell the gases ; выпустить газы, освободиться от газов, избавиться от газов
gas ex medication ; симетикон, препарат от вздутия живота, антифлатулентное средство
recliner ; кресло-кровать, откидное кресло, регулируемое кресло

cumulative effect;накопитеьлный эффект
soaked;пропитанный
douche  (not shower);Промывание влагалища раствором, введение чего то во влагалище


lumpectomy ; Люмпэктомия, Частичная мастэктомия, Сегментарная резекция молочной железы
positive margins ; Позитивные края резекции, Опухолевые клетки на краях
mastectomy ; Мастэктомия, Удаление молочной железы
Resecting the tissue ; Повторное иссечение ткани, Переиссечение тканей, Повторная резекция тканей
medial direction ; Медиальное направление, Направление к средней линии, Внутреннее направление
sterna ; Грудина, Грудинная кость

sutures ; Швы, Наложение швов, Шовный материал
dressing ; Повязка, Перевязка, Перевязочный материал
hematoma ; Гематома, Кровоподтёк, Скопление крови
direct firm pressure ; Прямое давление, Прямое плотное прижатие, Непосредственное прижатие
deep squating ; Глубокое приседание, Глубокий присед, Полное приседание
tap wash and dry ; Промыть под краном и просушить, Вымыть водой из-под крана и высушить, Ополоснуть, промокнуть и высушить
bruising ; Синяки, Кровоподтёки, Гематомы
twisting ; Скручивание, Поворот, Торсия
shopping cart ; Тележка для покупок, Продуктовая тележка, Корзина на колёсах


export in text (not file creation) everythign in this conversation in the format userPrompt ; yourAnswersTHourghComma
